X,Y,FID,UML_ID,Group_Name,Parent_Com,Mill_Name,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,GPS_coordi,GPS_coor_1,GPS_coor_2,ISO,Country,Province,District,Confidence,Alternativ,Field17
-73.837515,8.668383,1104,PO1000008330,UNKNOWN,EXTRACTORA GRUPALMA S.A.S.,EXTRACTORA GRUPALMA,Not RSPO Certified, ,2020/09/01 00:00:00+00,8.668383,-73.837515,"8.668383, -73.837515",-73.837515,8.668383,COL,Colombia,Bolívar,Morales,1-Fully Verified, , 
98.801449,8.676432,1105,PO1000008331,SMOTHONG GROUP,SMOTHONG PALMOIL CO.,SMOTHONG PALMOIL CO.,RSPO Certified,"RSPO Certified, MB",2020/09/01 00:00:00+00,8.676432,98.801449,"8.676432, 98.801449",98.801449,8.676432,THA,Thailand,Surat Thani,Phanom,1-Fully Verified, , 
99.131318,9.509484,1106,PO1000008332,SMOTHONG GROUP,SMOTHONG PALMOIL CO.,"SMOTHONG PALM CO.,LTD.",RSPO Certified,"RSPO Certified, MB",2020/09/01 00:00:00+00,9.509484,99.131318,"9.509484, 99.131318",99.131318,9.509484,THA,Thailand,Surat Thani,Tha Chana,1-Fully Verified, , 
-73.277009,9.856372,1107,PO1000008333,UNKNOWN,PALMAS OLEAGINOSAS DE CASACARE LTDA,PALMAS OLEAGINOSAS DE CASACARE LTDA,Not RSPO Certified, ,2020/09/01 00:00:00+00,9.856372,-73.277009,"9.856372, -73.277009",-73.277009,9.856372,COL,Colombia,Cesar,Agustín Codazzi,1-Fully Verified, , 
-86.180658,15.54414,1108,PO1000008336,UNKNOWN,"ASOCIACIÓN AGROINDUSTRIAL DE PALMICUTORES DE SABA, S.A DE C.V",ASOCIACION AGROINDUSTRIAL DE PALMICUTORES DE SABA (ASAPALSA),Not RSPO Certified, ,2020/09/01 00:00:00+00,15.54414,-86.180658,"15.54414, -86.180658",-86.180658,15.54414,HND,Honduras,Colón,Sabá,1-Fully Verified, , 
-85.941602,15.705837,1109,PO1000008337,COOPERATIVA DE PRODUCCION AGROPECUARIA SALAMA LIMITADA,COOPERATIVA DE PRODUCCION AGROPECUARIA SALAMA LIMITADA,COOPERATIVA SALAMA,Not RSPO Certified, ,2020/09/01 00:00:00+00,15.705837,-85.941602,"15.705837, -85.941602",-85.941602,15.705837,HND,Honduras,Colón,Tocoa,1-Fully Verified, , 
-90.393681,16.015425,1110,PO1000008338,UNISOURCE HOLDING INC.,INDUSTRIA CHIQUIBUL S.A.,INDUSTRIA CHIQUIBUL S.A.,Not RSPO Certified, ,2020/09/01 00:00:00+00,16.015425,-90.393681,"16.015425, -90.393681",-90.393681,16.015425,GTM,Guatemala,Alta Verapaz,Chisec,1-Fully Verified, , 
-90.467794,16.360506,1111,PO1000008341,UNKNOWN,ACEITES SUSTENTABLES DE PALMA,ACEITES SUSTENTABLES DE PALMA,Not RSPO Certified, ,2020/09/01 00:00:00+00,16.360506,-90.467794,"16.360506, -90.467794",-90.467794,16.360506,MEX,Mexico,Chiapas,Ocosingo,2-High Confidence, , 
82.200297,17.030901,1112,PO1000008342,RUCHI SOYA,RUCHI SOYA INDUSTRIES,PEDDAPURAM PALM OIL MILL,Not RSPO Certified, ,2020/09/01 00:00:00+00,17.030901,82.200297,"17.030901, 82.200297",82.200297,17.030901,IND,India,Andhra Pradesh,East Godavari,3-Low Confidence, , 
103.8837,-3.3609,1113,PO1000008343,GOZCO PLANTATIONS,SURYABUMI AGROLANGGENG,SURYA BUMI AGROLANGGENG,Not RSPO Certified, ,2020/09/01 00:00:00+00,-3.3609,103.8837,"-3.3609, 103.8837",103.8837,-3.3609,IDN,Indonesia,Sumatera Selatan,Muara Enim,1-Fully Verified, , 
